,TIME,LINE,HA,HOME,AWAY,LABEL,ID,MATCH_TIME,TITLE,MATCH_RESULT,DELTA,HOME_LAG,AWAY_LAG,HOME_CHANGE,AWAY_CHANGE,HOME_SCORE,AWAY_SCORE,FIRST_LINE,LAST_LINE,O_LINE,O_FIRST_LINE,O_LINE_LEAD,HOME_TREND,AWAY_TREND,A_PAT_FOUND,H_PAT_FOUND,PAT_FOUND,HANDI_LABEL
0,2017-08-21 19:33:00,(-0.5/-1),"(1.88, 1.88)",1.88,1.88,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,1 days 07:12:00.000000000,,,0,0,4,1,(-0.5/-1),(-0.5/-1),12,12,,0++-++-,0--+---,N,N,N,H
1,2017-08-23 00:12:00,(-0.5/-1),"(1.94, 1.82)",1.94,1.82,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,0 days 02:33:00.000000000,1.88,1.88,+,-,4,1,(-0.5/-1),(-0.5/-1),12,12,12.0,0++-++-,0--+---,N,N,N,H
2,2017-08-23 00:14:00,(-0.5/-1),"(2.05, 1.74)",2.05,1.74,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,0 days 02:31:00.000000000,1.94,1.82,+,-,4,1,(-0.5/-1),(-0.5/-1),12,12,12.0,0++-++-,0--+---,N,N,N,H
3,2017-08-23 00:28:00,(-0.5/-1),"(2.01, 1.77)",2.01,1.77,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,0 days 02:17:00.000000000,2.05,1.74,-,+,4,1,(-0.5/-1),(-0.5/-1),12,12,12.0,0++-++-,0--+---,N,N,N,H
4,2017-08-23 02:12:00,(-0.5/-1),"(2.05, 1.74)",2.05,1.74,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,0 days 00:33:00.000000000,2.01,1.77,+,-,4,1,(-0.5/-1),(-0.5/-1),12,12,12.0,0++-++-,0--+---,N,N,N,H
5,2017-08-23 02:14:00,(-0.5/-1),"(2.08, 1.72)",2.08,1.72,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,0 days 00:31:00.000000000,2.05,1.74,+,-,4,1,(-0.5/-1),(-0.5/-1),12,12,12.0,0++-++-,0--+---,N,N,N,H
6,2017-08-23 02:25:00,(-0.5/-1),"(2.13, 1.73)",2.13,1.73,H,117484,2017-08-23 02:45:00,阿士東維拉 VS 韋根,(3 : 1) 4 : 1,0 days 00:20:00.000000000,2.08,1.72,-,-,4,1,(-0.5/-1),(-0.5/-1),12,12,12.0,0++-++-,0--+---,N,N,N,H
7,2017-08-21 19:33:00,(0/+0.5),"(2.01, 1.77)",2.01,1.77,A,117485,2017-08-23 02:45:00,伯明翰 VS 般尼茅夫,(1 : 0) 1 : 2,1 days 07:12:00.000000000,,,0,0,1,2,(0/+0.5),(0/+0.5),8,8,,0--,0-+,N,N,N,A
8,2017-08-23 02:25:00,(0/+0.5),"(2.03, 1.8)",2.03,1.8,A,117485,2017-08-23 02:45:00,伯明翰 VS 般尼茅夫,(1 : 0) 1 : 2,0 days 00:20:00.000000000,2.01,1.77,-,-,1,2,(0/+0.5),(0/+0.5),8,8,8.0,0--,0-+,N,N,N,A
9,2017-08-23 02:30:00,(0/+0.5),"(1.93, 1.89)",1.93,1.89,A,117485,2017-08-23 02:45:00,伯明翰 VS 般尼茅夫,(1 : 0) 1 : 2,0 days 00:15:00.000000000,2.03,1.8,-,+,1,2,(0/+0.5),(0/+0.5),8,8,8.0,0--,0-+,N,N,N,A
